ID,SMILES,ION_ACTIVITY,PvsP,TEST_SET
MMV668957,c1ncc2n(c1N1CCC(C1)c1ccccc1)c(nn2)c1ccc(cc1)OC(F)F,,2,
MMV671678,c1ncc2n(c1n1ccnc1Cc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV671653,c1ncc2n(c1n1ncc(c1)c1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,,"6,721",
MMV670934,c1ncc2n(c1Nc1ccc(c(c1)Cl)Cl)c(nn2)c1ccc(cc1)OC(F)F,,"9,63499999999999",
MMV671651,c1ncc2n(c1OC[C@@H](c1cc(c(cc1)F)F)N)c(nn2)c1ccc(cc1)OC(F)F,,"0,2785",
MMV671650,c1ncc2n(c1Oc1cc(c(cc1)Cl)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,,"0,597299999999999",
MMV670765,c1ncc2n(c1Oc1cc(c(cc1)Cl)Cl)c(nn2)c1ccc(cc1)OC(F)F,,"0,4551",
MMV672620,c1ncc2n(c1Oc1cc3c(cc1)ccc(n3)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,,"1,629",
MMV670659,c1ncc2n(c1Oc1cc3c(cc1)cccc3)c(nn2)c1ccc(cc1)OC(F)F,,"0,1147",
MMV671649,c1ncc2n(c1Oc1cc3c(cc1)CCCC3)c(nn2)c1ccc(cc1)OC(F)F,,"2,581",
MMV672989,c1ncc2n(c1Oc1cc3nc(ccc3cc1)OC)c(nn2)c1ccc(cc1)OC(F)F,,"1,67",
MMV671929,c1ncc2n(c1Oc1ccc(c(c1)Cl)Cl)c(nn2)c1c(n(nc1C)c1ccc(cc1)F)C,,10,
MMV671648,c1ncc2n(c1Oc1ccc(cc1)C(C)(C)C)c(nn2)c1ccc(cc1)OC(F)F,,"0,737999999999999",
MMV670764,c1ncc2n(c1Oc1ccc(cc1)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,,"0,382899999999999",
MMV669784,c1ncc2n(c1Oc1ccc(cc1)Cl)c(nn2)c1ccc(cc1)OC(F)F,,"2,96",
MMV671680,c1ncc2n(c1Oc1ccc(cc1)S(F)(F)(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,,"0,262699999999999",
MMV672622,c1ncc2n(c1Oc1ccc/3c(c1)OC(/C=C3/C)(C)C)c(nn2)c1ccc(cc1)OC(F)F,,"1,822",
MMV672940,c1ncc2n(c1Oc1ccc3c(c1)cc(c(c3)F)F)c(nn2)c1ccc(cc1)OC(F)F,,"0,8392",
MMV672941,c1ncc2n(c1Oc1ccc3c(c1)cc(cc3F)F)c(nn2)c1ccc(cc1)OC(F)F,,"0,1734",
MMV672730,c1ncc2n(c1Oc1ccc3c(c1)cnc(n3)C(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,,"2,02499999999999",
MMV672623,c1ncc2n(c1Oc1ccc3c(c1)n(nc3)C)c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV672686,c1ncc2n(c1Oc1ccc3c(c1)nn(c3)C)c(nn2)c1ccc(cc1)OC(F)F,,"6,203",
MMV672621,c1ncc2n(c1Oc1ccc3c(c1)onc3C)c(nn2)c1ccc(cc1)OC(F)F,,"1,92799999999999",
MMV672937,c1ncc2n(c1Oc1ccc3c(c1)scc3)c(nn2)c1ccc(cc1)OC(F)F,,"0,5764",
MMV670935,c1ncc2n(c1Oc1cccc(c1)Cl)c(nn2)c1ccc(cc1)OC(F)F,,"3,066",
MMV672725,c1ncc2n(c1Oc1cccc(c1)Oc1ccccn1)c(nn2)c1ccc(cc1)OC(F)F,,"6,038",
MMV671647,c1ncc2n(c1OCC(c1cc(c(cc1)F)F)N1CCOCC1)c(nn2)c1ccc(cc1)OC(F)F,,"0,613299999999999",
MMV671679,c1ncc2n(c1OCC(F)(F)F)c(nn2)c1c(n(nc1C)c1ccc(cc1)F)C,,10,
MMV670762,c1ncc2n(c1OCC(F)(F)F)c(nn2)c1ccc(cc1)OC(F)F,0,10,A
MMV672726,c1ncc2n(c1OCC1CCc3c1ccc(c3)Cl)c(nn2)c1ccc(cc1)OC(F)F,,"1,459",
MMV668961,c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)C1CCN(CC1)C(C)=O,,10,
MMV668959,c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)C1CCOCC1,,10,
MMV669028,c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)N1Cc2c(C1)cccc2,,"0,47",
MMV669009,c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)N1CCCCC1,,"2,63",
MMV669006,c1ncc2n(c1OCCc1cc(c(cc1)F)F)c(nn2)Nc1cc(c(cc1)F)F,,"0,85",
MMV669850,c1ncc2nnc(n2c1C(Nc1ccc(c(c1)F)F)=O)c1ccc(cc1)OC(F)F,,"0,65",
MMV669849,c1ncc2nnc(n2c1C(Nc1ccc(cc1)F)=O)c1ccc(cc1)OC(F)F,,"3,74",
MMV672688,c1ncc2nnc(n2c1OCc1cccc2c1cccc2)c1ccc(cc1)OC(F)F,,"1,66799999999999",
MMV670249,c1ncc2nnc(n2c1OCCc1ccc(c(c1)F)F)N1CCc2c1ccc(c2)F,,"2,04999999999999",
MMV669103,N(c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F)S(Cc1ccc(cc1)C(F)(F)F)(=O)=O,,10,
MMV669353,N1(CC(C1)c1ccccc1)c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,,10,
MMV669008,N1(CC(C1)Oc1cc(c(cc1)F)F)c1cncc2n1c(nn2)c1ccc(cc1)OC(F)F,,"4,96",
OSM-S-106,NS(=O)(=O)c1cccc(c1)c2cc3ncnc(N)c3s2,0,,A
OSM-S-139,BrC1=CC2=NC=NC(N)=C2S1,,,
OSM-S-140,BrC1=CC2=NC=NC(NN)=C2S1,,,
OSM-S-141,CN(C)C1=C2C(C=CS2)=NC=N1,,,
OSM-S-142,NC1=C2C(C=C(C3=CC(C(N4CCN(C)CC4)=O)=CC=C3)S2)=NC=N1,,,
OSM-S-143,ClC1=C2C(C=C(C3=CC(S(N)(=O)=O)=CC=C3)S2)=NC=N1,,,
OSM-S-145,NS(C1=CC=CC(C2=CC3=NC=NC(N(C)C)=C3S2)=C1)(=O)=O,,,
OSM-S-64,n1cnc3ccsc3c1N2CCOCC2,,,
OSM-S-65,Oc1ncnc2cc(I)sc12,,,
OSM-S-66,C1(CSC2=NNC=N2)=CC=CC=C1,,,
OSM-S-67,O=C(N(C)C)N(C=N1)N=C1SCC2=CC=CC=C2,,,
OSM-S-69,O=CNc1ccsc1C(=O)OC,,,
OSM-S-70,Clc1ncnc2ccsc12,,,
TF 16-1,NC1=C2C(C=C(C3CC=CC(S(=O)(N4CCCC4)=O)=C3)S2)=NC=N1,,,
TF 17-1,NC1=C2C(C=C(C3CC=CC(S(=O)(NC)=O)=C3)S2)=NC=N1,,,
TF 18-1,NC1=C2C(C=C(C3CC=CC(S(=O)(N(C)C)=O)=C3)S2)=NC=N1,,,
TF 3-1,NC1=C2C(C(C)=C(C3=CC=CC(S(=O)(N)=O)=C3)S2)=NC=N1,,,
TF 4-1,NC1=C2C(C(C)=C(C3C(C)C=CC(S(=O)(N)=O)=C3)S2)=NC=N1,,,
TF 7-1,OCCNC1=C2C(C=C(C3=CC=CC(S(=O)(N)=O)=C3)S2)=NC=N1,,,
TF 8-1,OCCCNC1=C2C(C=C(C3CC=CC(S(=O)(N)=O)=C3)S2)=NC=N1,,,
OSM-S-56,O=S(N(C)C1=CC=C(Cl)C=C1)(C2=NN(C(N(C)C)=O)C=N2)=O,,,
OSM-A-1,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(S(=O)(N)=O)C=C3)NC1=N\C4=CC=CC=C4,,"3,7145",
OSM-A-10,O=C([H])C1=C(C)N(C(C)=C1)C2=CC(OC)=CC=C2,,,
OSM-A-11,IC1=CC=C(N2C(C)=CC=C2C)C=C1,,,
OSM-A-12,IC1=CC=C(N2C(C)=CC(C([H])=O)=C2C)C=C1,,,
OSM-A-2,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(C#N)C=C3)NC1=N\C4=CC=CC=C4,,"1,2015",
OSM-A-3,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC(OC)=CC=C3)NC1=N\C4=CC=CC=C4,,"0,119",
OSM-A-4,O=C(/C(S/1)=C/C2=C(C)N(C(C)=C2)C3=CC=C(I)C=C3)NC1=N\C4=CC=CC=C4,,"2,4535",
OSM-A-5,CC1=CC=C(C)N1C2=CC=C(S(=O)(N)=O)C=C2,,,
OSM-A-6,O=C([H])C1=C(C)N(C(C)=C1)C2=CC=C(S(N)=O)C=C2,,,
OSM-A-7,CC1=CC=C(C)N1C2=CC=C(C#N)C=C2,,,
OSM-A-8,O=C([H])C1=C(C)N(C(C)=C1)C2=CC=C(C#N)C=C2,,,
OSM-A-9,CC1=CC=C(C)N1C2=CC(OC)=CC=C2,,,
OSM-E-1,FC1=CC=C(N2C(C)=CC(S(N(C)CC(N)=O)(=O)=O)=C2C)C=C1,,50,
OSM-E-10,FC1=CC=C(N2C(C)=CC(S(N(C)CC(OC)=O)(=O)=O)=C2C)C=C1,,,
OSM-E-11,FC1=CC=C(N2C(C)=CC(S(N([H])CC(OC)=O)(=O)=O)=C2C)C=C1,,,
OSM-E-12,FC1=CC=C(N2C(C)=CC(S([O-])(=O)=O)=C2C)C=C1.[H][N+]3=CC=CC=C3,,,
OSM-E-13,FC1=CC=C(N2C(C)=C(S(N(CC(OC)=O)C)(=O)=O)C(S(N(C)CC(OC)=O)(=O)=O)=C2C)C=C1,,,
OSM-E-14,O=C(OC)COCC#C,,,
OSM-E-2,FC1=CC=C(N2C(C)=CC(S(NCC(N)=O)(=O)=O)=C2C)C=C1,,50,
OSM-E-3,FC1=CC=C(N2C(C)=C(S(N(CC(N)=O)C)(=O)=O)C(S(N(C)CC(N)=O)(=O)=O)=C2C)C=C1,,50,
OSM-E-4,FC1=CC=C(N2N=NC(COC(CBr)=O)=C2)C=C1,,50,
OSM-E-5,FC1=CC=C(N2N=NC(COCC(OCC)=O)=C2)C=C1,,50,
OSM-E-6,FC1=CC=C(N2N=NC(COCC(OC)=O)=C2)C=C1,,50,
OSM-E-7,FC1=CC=C(N2N=NC(COCC(OCC3=CN(C4=CC=C(F)C=C4)N=N3)=O)=C2)C=C1,,50,
OSM-E-8,FC1=CC=C(N2N=NC(COCC(N)=O)=C2)C=C1,,50,
OSM-E-9,FC1=CC=C(N2C(C)=CC(S(Cl)(=O)=O)=C2C)C=C1,,,
OSM-L-1,CC(N1C2=CC(F)=CC=C2)=CC(/C=C(C(N/3C4=CC=CC=C4)=O)\SC3=N/C5=CC=CC=C5)=C1C,,"4,1",
OSM-L-2,O=C(OCC#N)C1=C(C)N(N=C1)C2=CC=CC=C2,,,
OSM-S-1,FC1=CC=C(N2C(C)=CC=C2C)C=C1,,,
OSM-S-10,FC1=CC=C(N2C(C)=CC(/C=C3S/C(NC\3=O)=N\C4=CC=CC=C4)=C2C)C=C1,,"0,1925",
OSM-S-100,FC1=CC=C(N2C(C)=CC(C(OC(C)C(O)=O)=O)=C2C)C=C1,,50,
OSM-S-101,FC1=CC=C(N2C(C)=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1,,50,
OSM-S-102,FC1=CC=C(N2C(C)=CC(C(CCC(NC)=O)=O)=C2C)C=C1,,50,
OSM-S-103,CC(N1C2=CC=C(F)C=C2)=C(C(CCC(N)=O)=O)C=C1C,,50,
OSM-S-104,FC1=CC=C(N2N=CC(C3=NC(C(O)=O)=CO3)=C2C)C=C1,,50,
OSM-S-105,FC1=CC=C(N2N=CC(C3=NC(C(N)=O)=CO3)=C2C)C=C1,,50,
OSM-S-108,O=C(/C(S/1)=C/C2=C(C)NC(C)=C2)NC1=N\C3=CC=CC=C3,,"1,2",
OSM-S-109,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C([N+]([O-])=O)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4,,"0,262",
OSM-S-11,FC1=CC=C(N2C(C)=C(CO)C=C2C)C=C1,,,
OSM-S-110,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C([N+]([O-])=O)C=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,,"2,3",
OSM-S-111,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC=CC=C4,0,"0,165666666666667",A
OSM-S-112,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=C(OC)C=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,,"1,6",
OSM-S-113,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=N3)C(C)=C2)NC1=N\C4=CC=C(O)C=C4,,50,
OSM-S-114,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=C3)C(C)=C2)NC1=N\C4=CC(O)=CC=C4,,"1,2",
OSM-S-115,O=C(/C(S/1)=C/C2=C(C)N(C3=CC=CC=C3)C(C)=C2)NC1=N\C4=CC=C(O)C=C4,,"1,8",
OSM-S-116,CC(N1C2=CC=C(F)C=C2)=C(C(OC(C)C(N)=O)=O)C=C1C,,11,
OSM-S-12,CC(N1C2=CC=CC=C2)=CC(C(O)=O)=C1C,,50,
OSM-S-13,CC1=CC=C(N2C(C)=C(C(O)=O)C=C2C)C=C1,,50,
OSM-S-138,CC1=CC(/C=C(S/2)/C(NC2=N\C3=CC=CC=C3)=O)=C(C)N1C4=CC=C(N)C=C4,,"2,3",
OSM-S-14,CC(N1C2=CC=C(C(F)(F)F)C=C2)=CC(C(O)=O)=C1C,,50,
OSM-S-15,O=C(C1=CC=CC=C1)NCC(O)=O,,,
OSM-S-16,O=C(NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O)CNC(C3=CC=CC=C3)=O,,50,
OSM-S-17,O=C(NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O)CNC(OC(C)(C)C)=O,,,
OSM-S-18,NCC(NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O)=O,,,
OSM-S-19,CC(N1C2=CC=C(F)C=C2)=CC(C(NCC(N)=O)=O)=C1C,,50,
OSM-S-192,OCC(NC1=C(C)N(C)N(C2=CC=CC=C2)C1=O)=O,,,
OSM-S-193,O=C1COC(C)(C)O1,,,
OSM-S-2,CC1=CC(C=O)=C(C)N1C1=CC=C(F)C=C1,,50,
OSM-S-20,FC1=CC=C(N2C(C)=CC(C(Cl)=O)=C2C)C=C1,,,
OSM-S-21,FC1=CC=C(N2C(C)=CC(C(NCC(NC3=C(C)N(C)N(C4=CC=CC=C4)C3=O)=O)=O)=C2C)C=C1,,50,
OSM-S-22,FC1=CC=C(N2C(C)=CC(C(N)=O)=C2C)C=C1,,,
OSM-S-23,CC1=C(C(OCC)=O)C=NN1C2=CC=CC=C2,,,
OSM-S-236,FC1=CC=C(N2C(C)=CC(COCC(N)=O)=C2C)C=C1,,,
OSM-S-24,CC1=C(C(O)=O)C=NN1C2=CC=CC=C2,,,
OSM-S-241,FC1=CC=C(N2N=CC(C(OCC)=O)=C2C)C=C1,,,
OSM-S-242,FC1=CC=C(N2N=CC(C(O)=O)=C2C)C=C1,,,
OSM-S-243,FC1=CC=C(N2N=CC(C(OCC)=O)=C2N)C=C1,,,
OSM-S-244,FC1=CC=C(N2N=CC(C(OCC)=O)=C2)C=C1,,,
OSM-S-245,FC1=CC=C(N2N=CC(C(O)=O)=C2)C=C1,,,
OSM-S-246,FC1=CC=C(N2C(C)=CC(C3=NC(C(N)=O)=CO3)=C2C)C=C1,,,
OSM-S-247,FC1=CC=C(N2C(C)=CC(C3=NC(C(OCC)=O)=CO3)=C2C)C=C1,,,
OSM-S-248,FC1=CC=C(N2C(C)=CC(C3=NC(C(N)=O)CO3)=C2C)C=C1,,,
OSM-S-249,FC1=CC=C(N2C(C)=CC(C(N(C(C(N)=O)CO)[H])=O)=C2C)C=C1,,,
OSM-S-25,CC1=CC=C(C)N1C2=CC=CC=C2,,,
OSM-S-250,FC1=CC=C(N2N=CC(C(N(C(C(OC)=O)CO)[H])=O)=C2C)C=C1,,,
OSM-S-251,FC1=CC=C(N2N=CC(C(N(C(C(N)=O)CO)[H])=O)=C2C)C=C1,,,
OSM-S-252,CC1=C(C(N(C(C(OC)=O)CO)[H])=O)C=NN1C2=CC=CC=C2,,,
OSM-S-253,O=C(OCC)C1=CN(C=C1)C2=CC=C(F)C=C2,,,
OSM-S-26,CC1=CC=C(C)N1C2=CC=C(C)C=C2,,,
OSM-S-266,FC1=CC=C(N2C(C)=CC(C(NN)=O)=C2C)C=C1,,,
OSM-S-267,FC1=CC=C(N2C(C)=CC(C(NNC(C)=O)=O)=C2C)C=C1,,,
OSM-S-268,FC1=CC=C(N2C(C)=CC(C(NNC(C(OC)=O)=O)=O)=C2C)C=C1,,,
OSM-S-269,FC1=CC=C(N2C(C)=CC(C3=NN=C(C(OC)=O)O3)=C2C)C=C1,,,
OSM-S-27,CC1=CC=C(C)N1C2=CC=C(C(F)(F)F)C=C2,,,
OSM-S-28,CC(N1C2=CC=CC=C2)=CC(C=O)=C1C,,50,
OSM-S-284,CN(CC(O)=N)CC1=CC=CC=C1,,,
OSM-S-285,[H]N(CC(N)=O)C,,,
OSM-S-286,OC(CS/1)=NC1=N\C2=CC=CC=C2,,,
OSM-S-287,CC1=CC=C(C)N1C2=CC=C([N+]([O-])=O)C=C2,,,
OSM-S-288,O=C([H])C1=C(C)N(C2=CC=C([N+]([O-])=O)C=C2)C(C)=C1,,,
OSM-S-289,CC1=CC=C(C)N1C2=CC=C(OC)C=C2,,,
OSM-S-29,CC1=CC=C(N2C(C)=C(C=O)C=C2C)C=C1,,50,
OSM-S-290,O=C([H])C1=C(C)N(C(C)=C1)C2=CC=C(OC)C=C2,,,
OSM-S-3,O=C(C1=C(C)N(C2=CC=C(F)C=C2)C(C)=C1)OCC,,50,
OSM-S-30,CCOC(C1=C(C)N(C2=CC=C(C=C2)C)C(C)=C1)=O,,50,
OSM-S-31,O=C(C1=C(C)N(C2=CC=CC=C2)C(C)=C1)OCC,,50,
OSM-S-32,O=C(C1=C(C)N(C2=CC=C(C(F)(F)F)C=C2)C(C)=C1)OCC,,50,
OSM-S-33,CC1=CC=C(C)N1C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2,,,
OSM-S-34,CC1=C(C=O)C=C(C)N1C2=CC=C(C(F)(F)F)C=C2,,,
OSM-S-35,CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC=CC=C4,0,"0,025",A
OSM-S-36,CC1=C(C=O)C=C(C)N1C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2,,,
OSM-S-37 ,CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC=C(C)C=C4,,"0,067",
OSM-S-38,CC1=CC(/C=C(C(N/2)=O)\SC2=N/C3=CC=CC=C3)=C(C)N1C(C=C4)=CC=C4C(F)(F)F,,"0,078666666666667",
OSM-S-39,CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4,,"0,034",
OSM-S-4,CC(N1C2=CC=C(F)C=C2)=C(C(O)=O)C=C1C,0,50,A
OSM-S-40,CC1=CC=C(C)N1C2=CC=C(C(OCC)=O)C=C2,,,
OSM-S-41,CC1=CC=C(C)N1C2=CC=CC=N2,,,
OSM-S-42,CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C(C(N/3CC#N)=O)\SC3=N/C4=CC=CC=C4)C=C1C,,50,
OSM-S-43,CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C3SC(N(CC#N)C4=CC=CC=C4)=NC\3=O)C=C1C,,50,
OSM-S-44,CC1=C(C=O)C=C(C)N1C2=CC=CC=N2,,,
OSM-S-45,O=C(N=C(S/1)N(C(C)=O)C2=CC=CC=C2)C1=C\C3=C(C)N(C4=CC=C(C=C4)C(F)(F)F)C(C)=C3,,"0,015333333333333",
OSM-S-46,CC1=C(C=O)C=C(C)N1C2=CC=C(C(OCC)=O)C=C2,,,
OSM-S-47,O=C1CS/C(N1C2=CC=CC=C2)=N\C3=CC=CC=C3,,,
OSM-S-48,CCOC(C1=CC=C(N2C(C)=CC(/C=C(C(N/3)=O)\SC3=N/C4=CC=CC=C4)=C2C)C=C1)=O,,"0,258333333333333",
OSM-S-49,O=C(N=C(S/1)N(C2=CC=CC=C2)C(C)=O)C1=C\C3=C(C)N(C4=CC=CC=C4)C(C)=C3,,"0,058666666666667",
OSM-S-5,FC1=CC=C(N2C(C)=CC(C(OCC(N)=O)=O)=C2C)C=C1,0,"0,515",A
OSM-S-50,O=C(N=C(S/1)N(C2=CC=CC=C2)C(C)=O)C1=C\C3=C(C)N(C4=CC=C(C)C=C4)C(C)=C3,,"0,169",
OSM-S-51,CC1=C(/C=C2S/C(NC\2=O)=N\C3=CC=CC=C3)C=C(C)N1C4=NC=CC=C4,0,"0,277",A
OSM-S-52,CC(N1C2=CC=C(C(F)(F)F)C=C2)=CC(/C=C(C(N/3C4=CC=CC=C4)=O)\SC3=N/C5=CC=CC=C5)=C1C,,"0,303666666666667",
OSM-S-53,S=C(NC(C)=O)NC1=CC=CC=C1,,,
OSM-S-54,CC(N1C2=CC=C(C(F)(F)F)C=C2)=C(/C=C(C(N/3C4CCCC4)=O)\SC3=N/C5=CC=CC=C5)C=C1C,,"0,276666666666667",
OSM-S-55,O=C(N/C1=N/C2=CC=CC=C2)/C(S1)=C/C3=CC=CC=C3,,50,
OSM-S-57,O=C(OCC(N)=O)C1=C(C)N(N=C1)C2=CC=CC=C2,,50,
OSM-S-58,FC(C=C1)=CC=C1N2C(C)=C(CNCC(N)=O)C=C2C,,50,
OSM-S-59,FC(C=C1)=CC=C1N2C(C)=C(C(N(C)CC(N)=O)=O)C=C2C,,50,
OSM-S-6,CC(N1C2=CC=C(F)C=C2)=CC(C(OCC(NC(C3=O)=C(N(N3C4=CC=CC=C4)C)C)=O)=O)=C1C,,"0,28225",
OSM-S-60,FC(C=C1)=CC=C1N2C(C)=C(CN(C)CC(N)=O)C=C2C,,50,
OSM-S-61,FC(C=C1)=CC=C1N2C(C)=C(C(NC(CO)C(OC)=O)=O)C=C2C,,50,
OSM-S-62,FC(C=C1)=CC=C1N2C(C)=C(C3=NC(C(OC)=O)=CO3)C=C2C,,50,
OSM-S-63,FC(C=C1)=CC=C1N2C(C)=C(C(OC3)=NC3C(OC)=O)C=C2C,,,
OSM-S-68,FC(C=C1)=CC=C1N2C(C)=C(C(OC(C)(C)C(N)=O)=O)C=C2C,,50,
OSM-S-7,FC1=CC=C(N2C(C)=CC(C(N(C(NC3CCCCC3)=O)C4CCCCC4)=O)=C2C)C=C1,,50,
OSM-S-8,FC1=CC=C(N2C(C)=CC(C(NC3=C(C)N(C)N(C4=CC=CC=C4)C3=O)=O)=C2C)C=C1,,50,
OSM-S-81,CC1=CC(=C(C)[N]1C2=CC=CC=C2)C(=NCC(N(C)C)=O)O,,50,
OSM-S-82,CC1=CC(=C(C)[N]1C2=CC=C(C=C2)F)C(=O)OCC(=NC)O,,"9,4",
OSM-S-83,CC1=CC(=C(C)[N]1C2=CC=CC=C2)C(N3CCN=C(C3)O)=O,,50,
OSM-S-84,CC1=CC(=C(C)[N]1C2=CC=C(C=C2)Br)C(N(C)CC(=NC)O)=O,,50,
OSM-S-85,CC1=CC(=C(C)[N]1C2=CC=CC=C2)C3=NN=C(O3)SCC(=NC4=CC(=CC=C4)OC)O,,50,
OSM-S-86,CCN(CC(=NC1=C(C=CC=C1F)F)O)C(C2=C(C)[N](C(=C2)C)C3=CC=C(C=C3)F)=O,,50,
OSM-S-87,CC1=CC(=CC=C1)[N]2C(=CC(=C2C)C(N(C)CC(N=C3C=C(C)ON3)=O)=O)C,,50,
OSM-S-88,CC1=CC(=C(C)[N]1C2=CC=C(C=C2)Cl)CNC3CCN(CC3)CC(=NC)O,,"14,7",
OSM-S-89,CCN=C([C@@H]1C[C@H](CN1CC2=C(C)[N](C(=C2)C)C3=CC=CC=C3Cl)N)O,,"24,7",
OSM-S-9,FC1=CC=C(C=C1)N2C(C)=CC(/C=C(SC(N(C3=CC=CC=C3)C(C)=O)=N4)/C4=O)=C2C,,"0,04575",
OSM-S-90,CCC1=CC=C(C=C1)[N]2C(=CC(=C2C)CN3CCC(CC3)C(=O)O)C,,50,
OSM-S-91,CC1=CC(=C(C)[N]1C2=CC=C(C=C2)F)C(=O)OCC(N(C)C)=O,,"11,3",
OSM-S-92,FC(C=C1)=CC=C1N2C=C(C(OCC(N)=O)=O)C=N2,,50,
OSM-S-93,FC(C=C1)=CC=C1N2C(C)=C(C(N(C)C)=O)C=C2C,,50,
OSM-S-94,FC(C=C1)=CC=C1N2C(C)=C(CN3CCCC3)C=C2C,,50,
OSM-S-95,FC(C=C1)=CC=C1N2C(C)=CC(CNC3CCN(CC4=CC=CC=C4)CC3)=C2C,,"4,8",
OSM-S-96,FC1=CC=C(N2N=CC(C3=NC(C(OC)=O)=CO3)=C2C)C=C1,,50,
OSM-S-97,FC1=CC=C(N2C(C)=CC(C(CCC(O)=O)=O)=C2C)C=C1,,50,
OSM-S-98,FC1=CC=C(N2C(C)=CC(C(CCC(N(C)C)=O)=O)=C2C)C=C1,,50,
OSM-S-99,FC1=CC=C(N2C(C)=CC(C(OC(C)C(OCC)=O)=O)=C2C)C=C1,,50,
OSM-S-322,CCC1=NN=C2C=NC=C(N21)Cl,,,
OSM-S-324,ClC1=CN=CC2=NN=C(C3=CC=C(OC(F)F)C=C3)N21,,,
OSM-S-328,OC1=CN=CC2=NN=C(C3=CC=C(OC(F)F)C=C3)N21,,,
OSM-W-2,NC1=CN=CC2=NN=C(C3=CC=C(Cl)C=C3)N21,,,
OSM-S-194,C12=CC=CC=C1C3=C(C4(CCN(CC5=CC=CC=C5)CC4)OCC3)N2,,"1,033",
OSM-S-195,ClC1=C2C(C3(CCN(CC4=CC=CC=C4)CC3)OCC2)=CC=C1,,,
OSM-S-196,COC1=C(OC)C=C(C2(CCN(CC3=CC=CC=C3)CC2)OCC4)C4=C1,,,
OSM-S-197,C12=CC=CC=C1C3=C(C4(CCNCC4)OCC3)[N]2,,,
